Age,Income,Gender,Registered,City,AgeGroup,HighIncome
34.96714153011233,28769.438869243782,Male,1,New York,30-45,0
28.617356988288154,43690.320158519615,Female,0,Paris,18-30,0
36.47688538100692,44859.282252098456,Male,1,Tokyo,30-45,0
45.23029856408026,37965.84096167571,Female,0,Berlin,45-60,0
27.65846625276664,47580.71432500986,Male,1,New York,18-30,0
27.658630430508197,56060.76285221808,Female,0,Paris,18-30,0
45.79212815507391,78292.78851815795,Female,1,Tokyo,45-60,1
37.67434729152909,52618.66719247759,Female,0,Berlin,30-45,0
25.30525614065048,53863.25586084147,Male,1,New York,18-30,0
35.42560043585965,48883.31126350749,Female,0,Paris,30-45,0
25.365823071875376,21218.431770514377,Male,1,Tokyo,18-30,0
25.34270246429743,49602.29186826175,Female,0,Berlin,18-30,0
32.41962271566034,50903.4531491154,Male,1,New York,30-45,0
10.86719755342202,86948.6316872793,Female,0,Paris,<18,1
12.750821674869671,47114.58552828316,Male,1,Tokyo,<18,0
24.377124707590276,54523.210135004185,Female,0,Berlin,18-30,0
19.87168879665576,49479.32345442135,Female,1,New York,18-30,0
33.142473325952736,32469.82943570702,Female,0,Paris,30-45,0
20.91975924478789,67142.34221772531,Male,1,Tokyo,18-30,1
15.876962986647085,61278.99549030161,Male,0,Berlin,<18,1
44.65648768921554,61865.47920564571,Male,1,New York,30-45,1
27.742236995134643,36359.18817807891,Female,0,Paris,18-30,0
30.67528204687924,71041.91466404148,Male,1,Tokyo,30-45,1
15.752518137865431,28972.234058115788,Female,0,Berlin,<18,0
24.55617275474817,58802.85640700405,Male,1,New York,18-30,1
31.10922589709866,82856.83438714968,Female,0,Paris,30-45,1
18.490064225776973,35141.95512303968,Female,1,Tokyo,18-30,0
33.75698018345672,41505.53405595842,Female,0,Berlin,30-45,0
23.99361310081195,51494.77047631462,Male,1,New York,18-30,0
27.083062502067232,42447.86518825701,Male,0,Paris,18-30,0
23.98293387770603,26740.04853400801,Male,1,Tokyo,18-30,0
48.522781845089376,51028.44462209041,Female,0,Berlin,45-60,0
29.865027752620662,34065.44429410843,Male,1,New York,18-30,0
19.422890710441,57103.88645952773,Female,0,Paris,18-30,0
38.225449121031886,36208.63648649295,Male,1,Tokyo,30-45,0
17.791563500289776,73249.01607526309,Female,0,Berlin,<18,1
32.08863595004755,38251.20061495644,Female,1,New York,30-45,0
10.403298761202244,45169.07725691487,Female,0,Paris,<18,0
16.718139511015693,62202.75826054504,Male,1,Tokyo,<18,1
31.968612358691235,31537.03525349067,Male,0,Berlin,30-45,0
37.38466579995411,53411.89901906194,Male,1,New York,30-45,0
31.713682811899705,69607.14131423642,Female,0,Paris,30-45,1
28.843517176117597,25887.75148158159,Male,1,Tokyo,18-30,0
26.988963044107116,52769.50787798456,Female,0,Berlin,18-30,0
15.214780096325724,53898.24191372635,Male,1,New York,<18,0
22.801557916052914,61727.34307665966,Female,0,Paris,18-30,1
25.393612290402125,31445.73933682877,Female,1,Tokyo,18-30,0
40.57122226218915,30193.15080373585,Female,0,Berlin,30-45,0
33.43618289568462,57829.12348425346,Female,1,New York,30-45,0
12.36959844637266,54454.77009849779,Female,0,Paris,<18,0
33.24083969394795,53757.39275518815,Male,1,Tokyo,30-45,0
26.149177195836835,55196.72314245463,Female,0,Berlin,18-30,0
23.230779996940413,39799.62917632264,Male,1,New York,18-30,0
36.11676288840868,53483.80545741505,Female,0,Paris,30-45,0
40.30999522495951,54396.08709948022,Male,1,Tokyo,30-45,0
39.31280119116199,39284.72872960448,Female,0,Berlin,30-45,0
21.60782476777361,77986.61766717135,Female,1,New York,18-30,1
26.907876241487852,57107.49381367681,Female,0,Paris,18-30,0
33.31263431403564,32130.44754196027,Male,1,Tokyo,30-45,0
39.75545127122359,59848.30412950744,Male,0,Berlin,30-45,1
25.2082576215471,35379.77494659018,Male,1,New York,18-30,0
28.143410233361827,61806.26905613678,Female,0,Paris,18-30,1
18.93665025993972,67378.93368511106,Male,1,Tokyo,18-30,1
18.03793375919329,37689.76522472434,Female,0,Berlin,18-30,0
38.125258223941984,64450.64193866483,Male,1,New York,30-45,1
43.56240028570823,56191.71390404747,Female,0,Paris,30-45,0
29.27989878419666,62330.90239991735,Female,1,Tokyo,18-30,1
40.03532897892024,78451.89473980921,Female,0,Berlin,30-45,1
33.61636025047634,46319.17825995694,Male,1,New York,30-45,0
23.54880245394876,38693.95753463766,Male,0,Paris,18-30,0
33.61395605508414,36657.28355561715,Male,1,Tokyo,30-45,0
45.38036566465969,37762.845725518426,Female,0,Berlin,45-60,0
29.641739608900483,48843.47435878844,Male,1,New York,18-30,0
45.64643655814006,55117.27962224965,Female,0,Paris,45-60,0
3.8025489591025554,54150.36198995029,Male,1,Tokyo,<18,0
38.21902504375224,62407.74873554036,Female,0,Berlin,30-45,1
30.87047068238171,50195.02837816861,Female,1,New York,30-45,0
27.009926495341325,71803.01115735975,Female,0,Paris,18-30,1
30.917607765355022,46030.147501430656,Male,1,Tokyo,30-45,0
10.124310853991071,90802.53749884428,Male,0,Berlin,<18,1
27.80328112162488,59385.01021647509,Male,1,New York,18-30,1
33.57112571511746,37142.63665375576,Female,0,Paris,30-45,0
44.77894044741516,33936.612529083315,Male,1,Tokyo,30-45,0
24.81729781726353,57237.08622864778,Female,0,Berlin,18-30,0
21.91506397106812,46648.05822011224,Male,1,New York,18-30,0
24.98242956415464,60710.007411381375,Female,0,Paris,18-30,1
39.15402117702074,57098.56436860317,Female,1,Tokyo,30-45,0
33.287511096596845,48907.56631014691,Female,0,Berlin,30-45,0
24.702397962329613,37298.094228973925,Male,1,New York,18-30,0
35.13267433113356,27277.291629712032,Female,0,Paris,30-45,0
30.970775493480403,43302.275718994686,Male,1,Tokyo,30-45,0
39.68644990532889,62845.98191485208,Female,0,Berlin,30-45,1
22.979469061226474,53211.40616195306,Male,1,New York,18-30,0
26.72337853402232,31313.91831932018,Female,0,Paris,18-30,0
26.078918468678424,52597.71388776773,Male,1,Tokyo,18-30,0
15.364850518678814,55779.76069593255,Female,0,Berlin,<18,0
32.96120277064576,36742.13845698301,Female,1,New York,30-45,0
32.610552721798896,52305.87658918292,Female,0,Paris,30-45,0
30.051134566424608,50873.13077669,Male,1,Tokyo,30-45,0
27.65412866624853,32855.44553254065,Female,0,Berlin,18-30,0
